method,mean_rank_f1,mean_rank_pr_auc,mean_f1,std_f1_mean,mean_pr_auc,std_pr_auc_mean,mean_recall,mean_precision,mean_mcc,mean_g_mean,n_blocks,overall_rank_by_pr_auc,overall_rank_by_f1
Random Oversampling + RF,8.833333333333334,2.259259259259259,0.3006848322405802,0.06630342459459958,0.559031284977059,0.07460167623779995,0.21740769677225766,0.8105442970731626,0.37239145821349817,0.38969686044418544,27,1.0,8.0
SMOTE + RF,3.2222222222222223,3.7888888888888888,0.4565645130027881,0.08542826350389149,0.5589214241426416,0.08428452767334568,0.37810511101109096,0.6564130649472805,0.4767461852123003,0.5508016727368085,45,2.0,3.0
RF (balanced_subsample),12.592592592592593,3.888888888888889,0.19468600378294473,0.05802283675100923,0.548241962442983,0.07697812129261185,0.1404280514822064,0.7286830197407639,0.26274266944804225,0.27186183712082856,27,3.0,12.0
Baseline RF,11.37037037037037,4.407407407407407,0.22887440100189135,0.06308102832739128,0.5384385953224884,0.09063831852399819,0.16481232616149036,0.8016271966365481,0.30567446681264543,0.31489755156283084,27,4.0,10.0
SMOTE-Tomek + RF,3.1481481481481484,4.462962962962963,0.46718480201487517,0.07583294256987941,0.5300943612443361,0.07859926185366672,0.402414275372029,0.6119628080342822,0.4769253990006605,0.5769917559310871,27,6.0,1.0
Borderline-SMOTE + RF,4.518518518518518,5.185185185185185,0.44839904266152336,0.07464910663296263,0.5327541532850333,0.07355270232460556,0.36418973295438417,0.6650537394318188,0.47077006304712865,0.546884647785811,27,5.0,5.0
ADASYN + RF,4.333333333333333,6.37037037037037,0.45557921068782387,0.08008726946350052,0.512006596128308,0.0773630379402444,0.3972149447036844,0.5870685061481612,0.4628988358570521,0.5796291651408102,27,7.0,4.0
SMOTE-ENN + RF,3.962962962962963,7.962962962962963,0.4614041483942807,0.07853078945771942,0.4975023264240965,0.0800221323069673,0.42910731700357646,0.5366327160541519,0.459423803747953,0.6071971378080235,27,8.0,2.0
Balanced Random Forest,6.111111111111111,8.62962962962963,0.32796443708273515,0.035060899996589394,0.46170329917101544,0.05654022899955228,0.7165988281549333,0.2341731560003724,0.36521786713787513,0.8122301843867812,27,9.0,7.0
Custom weighted log-loss LR,7.277777777777778,10.518518518518519,0.33738829426049066,0.1298484156920573,0.3361618324439333,0.12925008162428606,0.3440349238196955,0.3941763490765017,0.3372875752221733,0.5236724720523728,27,12.0,6.0
Random Undersampling + RF,9.814814814814815,10.666666666666666,0.2101339426866743,0.032997912058666874,0.4098145631124385,0.0726995029932237,0.8166885166951003,0.134088339775705,0.26625969077202477,0.8226315091568203,27,10.0,11.0
Balanced Bagging,8.37037037037037,11.11111111111111,0.25401970528323126,0.021507008681332054,0.3852066844361304,0.047418276638440254,0.744200572507057,0.16751302676919122,0.30188452838922736,0.814092816795659,27,11.0,9.0
Class weight LogisticRegression,10.925925925925926,12.518518518518519,0.17138003561533527,0.048412464697276024,0.27208040688938423,0.11151723525324367,0.7438654082663388,0.10448326032161252,0.21579875615446276,0.7753823281539373,27,14.0,13.0
EasyEnsemble,11.555555555555555,12.592592592592593,0.16528403244463996,0.04130574661264444,0.2822737990948098,0.09087408292958464,0.7796137074848956,0.09957152623570649,0.2133382550197536,0.7857517626293888,27,13.0,14.0
RUSBoost,13.703703703703704,15.0,0.10231703253846912,0.02872376516276906,0.07773728729318642,0.041643304441532185,0.5342001179865163,0.06188730959275849,0.11087160474448791,0.6291702235272858,27,15.0,15.0
