n_samples,method,fit_sec,predict_sec,total_sec
5000,ADASYN + RF,0.35013333333333335,0.026166666666666668,0.3762666666666667
5000,Balanced Bagging,0.08183333333333333,0.022866666666666664,0.1047
5000,Balanced Random Forest,0.2604,0.025899999999999996,0.2863
5000,Baseline RF,0.22273333333333334,0.026,0.24876666666666666
5000,Borderline-SMOTE + RF,0.38423333333333337,0.025900000000000003,0.4101666666666666
5000,Class weight LogisticRegression,0.006666666666666667,0.0011,0.0077333333333333325
5000,Custom weighted log-loss LR,0.006033333333333332,0.0007666666666666667,0.0068000000000000005
5000,EasyEnsemble,2.0304333333333333,0.08686666666666666,2.1173333333333333
5000,RF (balanced_subsample),0.25853333333333334,0.026266666666666664,0.28476666666666667
5000,RUSBoost,0.014599999999999998,0.0009499999999999999,0.015550000000000001
5000,Random Oversampling + RF,0.2424666666666667,0.0261,0.26853333333333335
5000,Random Undersampling + RF,0.13643333333333332,0.0257,0.1621
5000,SMOTE + RF,0.3776333333333333,0.03153333333333334,0.40913333333333335
5000,SMOTE-ENN + RF,0.36946666666666667,0.02623333333333333,0.3957
5000,SMOTE-Tomek + RF,0.3875,0.02573333333333333,0.4132
10000,ADASYN + RF,0.7049,0.02613333333333333,0.731
10000,Balanced Bagging,0.2559,0.023066666666666666,0.2789333333333333
10000,Balanced Random Forest,0.29096666666666665,0.026233333333333334,0.3172
10000,Baseline RF,0.3889,0.026366666666666667,0.41523333333333334
10000,Borderline-SMOTE + RF,0.6821333333333334,0.030166666666666665,0.7123333333333334
10000,Class weight LogisticRegression,0.009633333333333334,0.0012333333333333332,0.0109
10000,Custom weighted log-loss LR,0.009099999999999999,0.0011333333333333334,0.010266666666666667
10000,EasyEnsemble,2.3164333333333333,0.09156666666666667,2.4079333333333333
10000,RF (balanced_subsample),0.4227,0.026099999999999998,0.44880000000000003
10000,RUSBoost,0.022166666666666668,0.0012333333333333335,0.023433333333333334
10000,Random Oversampling + RF,0.4477333333333333,0.03576666666666666,0.4835
10000,Random Undersampling + RF,0.17326666666666668,0.02946666666666667,0.20273333333333332
10000,SMOTE + RF,0.6142333333333333,0.026333333333333334,0.6405333333333333
10000,SMOTE-ENN + RF,0.7658999999999999,0.026466666666666666,0.7923333333333332
10000,SMOTE-Tomek + RF,0.8150666666666666,0.03006666666666667,0.8451
25000,ADASYN + RF,1.7023333333333335,0.03666666666666667,1.7390666666666668
25000,Balanced Bagging,0.49,1.7267,2.216666666666667
25000,Balanced Random Forest,0.4285666666666667,0.029833333333333333,0.4584
25000,Baseline RF,1.0572666666666668,0.0333,1.0906333333333333
25000,Borderline-SMOTE + RF,1.7204,0.03696666666666667,1.7573666666666667
25000,Class weight LogisticRegression,0.0184,0.0020666666666666667,0.0205
25000,Custom weighted log-loss LR,0.0193,0.0016666666666666668,0.02093333333333333
25000,EasyEnsemble,1.1068333333333333,0.2073,1.3141333333333334
25000,RF (balanced_subsample),0.9802666666666666,0.0337,1.0139
25000,RUSBoost,0.0646,0.0027333333333333337,0.06733333333333334
25000,Random Oversampling + RF,1.0717666666666668,0.0335,1.1053
25000,Random Undersampling + RF,0.20709999999999998,0.029800000000000004,0.2369
25000,SMOTE + RF,1.6109666666666669,0.03696666666666667,1.6479333333333333
25000,SMOTE-ENN + RF,2.3863,0.03713333333333333,2.423433333333333
25000,SMOTE-Tomek + RF,2.4183333333333334,0.036166666666666666,2.4545
