rule_id,condition,recommended_method,primary_metric,metric_value,secondary_metric,secondary_metric_value,evidence_file,comment,recommended_parameter
synthetic_clean_IR=1000:1,"Синтетические данные, clean_IR=1000:1",Custom weighted log-loss LR,F1,0.291866028708134,PR-AUC,0.2799524700784451,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_clean_IR=100:1,"Синтетические данные, clean_IR=100:1",SMOTE + RF,F1,0.5871879362733021,PR-AUC,0.7003461628171843,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_clean_IR=10:1,"Синтетические данные, clean_IR=10:1",SMOTE + RF,F1,0.8394520610698888,PR-AUC,0.9217209058238988,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_clean_IR=50:1,"Синтетические данные, clean_IR=50:1",SMOTE + RF,F1,0.5581783917157234,PR-AUC,0.6362057877095064,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_overlap_feature_noise_IR=1000:1,"Синтетические данные, overlap_feature_noise_IR=1000:1",Custom weighted log-loss LR,F1,0.1469298245614035,PR-AUC,0.1937657889692331,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_overlap_feature_noise_IR=100:1,"Синтетические данные, overlap_feature_noise_IR=100:1",SMOTE-ENN + RF,F1,0.4462550503253555,PR-AUC,0.4952112941723908,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_overlap_feature_noise_IR=10:1,"Синтетические данные, overlap_feature_noise_IR=10:1",SMOTE + RF,F1,0.7464321841680333,PR-AUC,0.8437897437659215,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
synthetic_overlap_feature_noise_IR=50:1,"Синтетические данные, overlap_feature_noise_IR=50:1",SMOTE + RF,F1,0.4029046501783688,PR-AUC,0.4196257545257469,synthetic_repeated_summary.csv,Лучший метод по mean F1; PR-AUC и MCC используются как контрольные метрики.,
adaptive_ir_10,Настройка SMOTE при IR=10:1,SMOTE + RF,F1,0.8394520610698888,PR-AUC,0.9217209058238988,adaptive_sampling_optimal.csv,"Оптимальная степень oversampling выбирается эмпирически, а не фиксируется как 1:1.",sampling_strategy=1.0
adaptive_ir_50,Настройка SMOTE при IR=50:1,SMOTE + RF,F1,0.5581783917157234,PR-AUC,0.6362057877095064,adaptive_sampling_optimal.csv,"Оптимальная степень oversampling выбирается эмпирически, а не фиксируется как 1:1.",sampling_strategy=1.0
adaptive_ir_100,Настройка SMOTE при IR=100:1,SMOTE + RF,F1,0.5886101154918358,PR-AUC,0.7480308037555571,adaptive_sampling_optimal.csv,"Оптимальная степень oversampling выбирается эмпирически, а не фиксируется как 1:1.",sampling_strategy=0.5
adaptive_ir_1000,Настройка SMOTE при IR=1000:1,SMOTE + RF,F1,0.1527777777777777,PR-AUC,0.2384780092021665,adaptive_sampling_optimal.csv,"Оптимальная степень oversampling выбирается эмпирически, а не фиксируется как 1:1.",sampling_strategy=0.1
synthetic_noise_summary,Сценарий: шум признаков; parameter_value=0.2,SMOTE-ENN + RF,F1,0.5586851744746482,PR-AUC,0.583616819172425,synthetic_noise_summary.csv,Рекомендация основана на самом сложном проверенном варианте сценария.,
synthetic_label_noise_summary,Сценарий: шум меток; parameter_value=0.1,Balanced Random Forest,F1,0.2139851447097387,PR-AUC,0.2085434135441452,synthetic_label_noise_summary.csv,Рекомендация основана на самом сложном проверенном варианте сценария.,
synthetic_dimensionality_summary,Сценарий: высокая размерность; parameter_value=100,Custom weighted log-loss LR,F1,0.2842144914152399,PR-AUC,0.2396251087572022,synthetic_dimensionality_summary.csv,Рекомендация основана на самом сложном проверенном варианте сценария.,
synthetic_class_sep_summary,Сценарий: перекрытие классов; parameter_value=0.5,Borderline-SMOTE + RF,F1,0.3334495028206996,PR-AUC,0.4298248820527141,synthetic_class_sep_summary.csv,Рекомендация основана на самом сложном проверенном варианте сценария.,
